,feature_id,feature_type,feature_subtype,year,week,census_block_2010,value
0,weather_total_precipitation,,,2014,2,,399
1,weather_average_temperature,,,2014,2,,8.0
2,weather_average_minimum_temperature,,,2014,2,,-50.142857142857146
3,weather_average_maximum_temperature,,,2014,2,,54.857142857142854
4,weather_total_precipitation,,,2014,3,,89
5,weather_average_temperature,,,2014,3,,46.285714285714285
6,weather_average_minimum_temperature,,,2014,3,,2.7142857142857144
7,weather_average_maximum_temperature,,,2014,3,,97.57142857142857
8,weather_total_precipitation,,,2014,4,,46
9,weather_average_temperature,,,2014,4,,-28.571428571428573
10,weather_average_minimum_temperature,,,2014,4,,-75.42857142857143
11,weather_average_maximum_temperature,,,2014,4,,14.142857142857142
12,weather_total_precipitation,,,2014,5,,8
13,weather_average_temperature,,,2014,5,,-4.428571428571429
14,weather_average_minimum_temperature,,,2014,5,,-56.42857142857143
15,weather_average_maximum_temperature,,,2014,5,,64.71428571428571
16,weather_total_precipitation,,,2014,6,,473
17,weather_average_temperature,,,2014,6,,19.714285714285715
18,weather_average_minimum_temperature,,,2014,6,,-7.285714285714286
19,weather_average_maximum_temperature,,,2014,6,,50.857142857142854
20,weather_total_precipitation,,,2014,7,,450
21,weather_average_temperature,,,2014,7,,3.5714285714285716
22,weather_average_minimum_temperature,,,2014,7,,-31.0
23,weather_average_maximum_temperature,,,2014,7,,36.57142857142857
24,weather_total_precipitation,,,2014,8,,53
25,weather_average_temperature,,,2014,8,,70.42857142857143
26,weather_average_minimum_temperature,,,2014,8,,18.571428571428573
27,weather_average_maximum_temperature,,,2014,8,,149.14285714285714
28,weather_total_precipitation,,,2014,9,,104
29,weather_average_temperature,,,2014,9,,13.428571428571429
30,weather_average_minimum_temperature,,,2014,9,,-30.285714285714285
31,weather_average_maximum_temperature,,,2014,9,,58.142857142857146
32,weather_total_precipitation,,,2014,10,,140
33,weather_average_temperature,,,2014,10,,17.857142857142858
34,weather_average_minimum_temperature,,,2014,10,,-29.285714285714285
35,weather_average_maximum_temperature,,,2014,10,,74.57142857142857
36,weather_total_precipitation,,,2014,11,,91
37,weather_average_temperature,,,2014,11,,87.57142857142857
38,weather_average_minimum_temperature,,,2014,11,,17.142857142857142
39,weather_average_maximum_temperature,,,2014,11,,152.42857142857142
40,weather_total_precipitation,,,2014,12,,183
41,weather_average_temperature,,,2014,12,,65.28571428571429
42,weather_average_minimum_temperature,,,2014,12,,27.285714285714285
43,weather_average_maximum_temperature,,,2014,12,,109.57142857142857
44,weather_total_precipitation,,,2014,13,,610
45,weather_average_temperature,,,2014,13,,61.142857142857146
46,weather_average_minimum_temperature,,,2014,13,,20.428571428571427
47,weather_average_maximum_temperature,,,2014,13,,103.85714285714286
48,weather_total_precipitation,,,2014,14,,15
49,weather_average_temperature,,,2014,14,,123.57142857142857
50,weather_average_minimum_temperature,,,2014,14,,76.28571428571429
51,weather_average_maximum_temperature,,,2014,14,,185.71428571428572
52,weather_total_precipitation,,,2014,15,,107
53,weather_average_temperature,,,2014,15,,160.0
54,weather_average_minimum_temperature,,,2014,15,,103.42857142857143
55,weather_average_maximum_temperature,,,2014,15,,224.57142857142858
56,weather_total_precipitation,,,2014,16,,388
57,weather_average_temperature,,,2014,16,,127.28571428571429
58,weather_average_minimum_temperature,,,2014,16,,68.14285714285714
59,weather_average_maximum_temperature,,,2014,16,,180.28571428571428
60,weather_total_precipitation,,,2014,17,,112
61,weather_average_temperature,,,2014,17,,147.0
62,weather_average_minimum_temperature,,,2014,17,,89.57142857142857
63,weather_average_maximum_temperature,,,2014,17,,208.0
64,weather_total_precipitation,,,2014,18,,1062
65,weather_average_temperature,,,2014,18,,161.0
66,weather_average_minimum_temperature,,,2014,18,,116.0
67,weather_average_maximum_temperature,,,2014,18,,207.0
68,weather_total_precipitation,,,2014,19,,174
69,weather_average_temperature,,,2014,19,,184.0
70,weather_average_minimum_temperature,,,2014,19,,145.28571428571428
71,weather_average_maximum_temperature,,,2014,19,,240.42857142857142
72,weather_total_precipitation,,,2014,20,,694
73,weather_average_temperature,,,2014,20,,200.0
74,weather_average_minimum_temperature,,,2014,20,,149.28571428571428
75,weather_average_maximum_temperature,,,2014,20,,247.57142857142858
76,weather_total_precipitation,,,2014,21,,41
77,weather_average_temperature,,,2014,21,,207.28571428571428
78,weather_average_minimum_temperature,,,2014,21,,148.28571428571428
79,weather_average_maximum_temperature,,,2014,21,,269.14285714285717
80,weather_total_precipitation,,,2014,22,,313
81,weather_average_temperature,,,2014,22,,216.28571428571428
82,weather_average_minimum_temperature,,,2014,22,,165.14285714285714
83,weather_average_maximum_temperature,,,2014,22,,269.7142857142857
84,weather_total_precipitation,,,2014,23,,171
85,weather_average_temperature,,,2014,23,,237.0
86,weather_average_minimum_temperature,,,2014,23,,182.42857142857142
87,weather_average_maximum_temperature,,,2014,23,,292.0
88,weather_total_precipitation,,,2014,24,,533
89,weather_average_temperature,,,2014,24,,245.0
90,weather_average_minimum_temperature,,,2014,24,,207.14285714285714
91,weather_average_maximum_temperature,,,2014,24,,287.2857142857143
92,weather_total_precipitation,,,2014,25,,23
93,weather_average_temperature,,,2014,25,,263.14285714285717
94,weather_average_minimum_temperature,,,2014,25,,218.28571428571428
95,weather_average_maximum_temperature,,,2014,25,,308.85714285714283
96,weather_total_precipitation,,,2014,26,,114
97,weather_average_temperature,,,2014,26,,261.42857142857144
98,weather_average_minimum_temperature,,,2014,26,,216.0
99,weather_average_maximum_temperature,,,2014,26,,308.14285714285717
100,weather_total_precipitation,,,2014,27,,142
101,weather_average_temperature,,,2014,27,,266.57142857142856
102,weather_average_minimum_temperature,,,2014,27,,216.57142857142858
103,weather_average_maximum_temperature,,,2014,27,,323.0
104,weather_total_precipitation,,,2014,28,,544
105,weather_average_temperature,,,2014,28,,272.0
106,weather_average_minimum_temperature,,,2014,28,,223.85714285714286
107,weather_average_maximum_temperature,,,2014,28,,329.42857142857144
108,weather_total_precipitation,,,2014,29,,475
109,weather_average_temperature,,,2014,29,,256.0
110,weather_average_minimum_temperature,,,2014,29,,218.28571428571428
111,weather_average_maximum_temperature,,,2014,29,,300.0
112,weather_total_precipitation,,,2014,30,,28
113,weather_average_temperature,,,2014,30,,261.85714285714283
114,weather_average_minimum_temperature,,,2014,30,,221.42857142857142
115,weather_average_maximum_temperature,,,2014,30,,307.0
116,weather_total_precipitation,,,2014,31,,157
117,weather_average_temperature,,,2014,31,,243.85714285714286
118,weather_average_minimum_temperature,,,2014,31,,194.42857142857142
119,weather_average_maximum_temperature,,,2014,31,,284.2857142857143
120,weather_total_precipitation,,,2014,32,,97
121,weather_average_temperature,,,2014,32,,259.2857142857143
122,weather_average_minimum_temperature,,,2014,32,,212.14285714285714
123,weather_average_maximum_temperature,,,2014,32,,308.0
124,weather_total_precipitation,,,2014,33,,417
125,weather_average_temperature,,,2014,33,,245.0
126,weather_average_minimum_temperature,,,2014,33,,200.0
127,weather_average_maximum_temperature,,,2014,33,,289.57142857142856
128,weather_total_precipitation,,,2014,34,,122
129,weather_average_temperature,,,2014,34,,251.85714285714286
130,weather_average_minimum_temperature,,,2014,34,,220.57142857142858
131,weather_average_maximum_temperature,,,2014,34,,291.2857142857143
132,weather_total_precipitation,,,2014,35,,69
133,weather_average_temperature,,,2014,35,,256.57142857142856
134,weather_average_minimum_temperature,,,2014,35,,207.14285714285714
135,weather_average_maximum_temperature,,,2014,35,,309.7142857142857
136,weather_total_precipitation,,,2014,36,,50
137,weather_average_temperature,,,2014,36,,276.85714285714283
138,weather_average_minimum_temperature,,,2014,36,,238.71428571428572
139,weather_average_maximum_temperature,,,2014,36,,331.85714285714283
140,weather_total_precipitation,,,2014,37,,58
141,weather_average_temperature,,,2014,37,,228.28571428571428
142,weather_average_minimum_temperature,,,2014,37,,194.28571428571428
143,weather_average_maximum_temperature,,,2014,37,,264.2857142857143
144,weather_total_precipitation,,,2014,38,,0
145,weather_average_temperature,,,2014,38,,213.42857142857142
146,weather_average_minimum_temperature,,,2014,38,,165.85714285714286
147,weather_average_maximum_temperature,,,2014,38,,270.7142857142857
148,weather_total_precipitation,,,2014,39,,173
149,weather_average_temperature,,,2014,39,,201.28571428571428
150,weather_average_minimum_temperature,,,2014,39,,152.42857142857142
151,weather_average_maximum_temperature,,,2014,39,,249.28571428571428
152,weather_total_precipitation,,,2014,40,,44
153,weather_average_temperature,,,2014,40,,196.28571428571428
154,weather_average_minimum_temperature,,,2014,40,,154.71428571428572
155,weather_average_maximum_temperature,,,2014,40,,233.28571428571428
156,weather_total_precipitation,,,2014,41,,160
157,weather_average_temperature,,,2014,41,,174.71428571428572
158,weather_average_minimum_temperature,,,2014,41,,131.71428571428572
159,weather_average_maximum_temperature,,,2014,41,,218.28571428571428
160,weather_total_precipitation,,,2014,42,,396
161,weather_average_temperature,,,2014,42,,186.85714285714286
162,weather_average_minimum_temperature,,,2014,42,,145.28571428571428
163,weather_average_maximum_temperature,,,2014,42,,226.28571428571428
164,weather_total_precipitation,,,2014,43,,279
165,weather_average_temperature,,,2014,43,,156.14285714285714
166,weather_average_minimum_temperature,,,2014,43,,110.28571428571429
167,weather_average_maximum_temperature,,,2014,43,,208.71428571428572
168,weather_total_precipitation,,,2014,44,,8
169,weather_average_temperature,,,2014,44,,137.71428571428572
170,weather_average_minimum_temperature,,,2014,44,,93.71428571428571
171,weather_average_maximum_temperature,,,2014,44,,179.42857142857142
172,weather_total_precipitation,,,2014,45,,133
173,weather_average_temperature,,,2014,45,,122.57142857142857
174,weather_average_minimum_temperature,,,2014,45,,78.57142857142857
175,weather_average_maximum_temperature,,,2014,45,,172.14285714285714
176,weather_total_precipitation,,,2014,46,,11
177,weather_average_temperature,,,2014,46,,90.14285714285714
178,weather_average_minimum_temperature,,,2014,46,,40.57142857142857
179,weather_average_maximum_temperature,,,2014,46,,134.14285714285714
180,weather_total_precipitation,,,2014,47,,213
181,weather_average_temperature,,,2014,47,,40.857142857142854
182,weather_average_minimum_temperature,,,2014,47,,-5.0
183,weather_average_maximum_temperature,,,2014,47,,91.14285714285714
184,weather_total_precipitation,,,2014,48,,315
185,weather_average_temperature,,,2014,48,,89.71428571428571
186,weather_average_minimum_temperature,,,2014,48,,51.42857142857143
187,weather_average_maximum_temperature,,,2014,48,,139.71428571428572
188,weather_total_precipitation,,,2014,49,,344
189,weather_average_temperature,,,2014,49,,80.57142857142857
190,weather_average_minimum_temperature,,,2014,49,,47.0
191,weather_average_maximum_temperature,,,2014,49,,112.0
192,weather_total_precipitation,,,2014,50,,84
193,weather_average_temperature,,,2014,50,,51.714285714285715
194,weather_average_minimum_temperature,,,2014,50,,18.285714285714285
195,weather_average_maximum_temperature,,,2014,50,,87.14285714285714
196,weather_total_precipitation,,,2014,51,,102
197,weather_average_temperature,,,2014,51,,57.857142857142854
198,weather_average_minimum_temperature,,,2014,51,,23.142857142857142
199,weather_average_maximum_temperature,,,2014,51,,88.71428571428571
200,weather_total_precipitation,,,2014,52,,348
201,weather_average_temperature,,,2014,52,,78.14285714285714
202,weather_average_minimum_temperature,,,2014,52,,45.285714285714285
203,weather_average_maximum_temperature,,,2014,52,,121.42857142857143
204,weather_total_precipitation,,,2015,1,,191
205,weather_average_temperature,,,2015,1,,50.857142857142854
206,weather_average_minimum_temperature,,,2015,1,,13.857142857142858
207,weather_average_maximum_temperature,,,2015,1,,89.57142857142857
208,weather_total_precipitation,,,2015,2,,51
209,weather_average_temperature,,,2015,2,,-15.428571428571429
210,weather_average_minimum_temperature,,,2015,2,,-60.714285714285715
211,weather_average_maximum_temperature,,,2015,2,,25.142857142857142
212,weather_total_precipitation,,,2015,3,,343
213,weather_average_temperature,,,2015,3,,19.571428571428573
214,weather_average_minimum_temperature,,,2015,3,,-9.714285714285714
215,weather_average_maximum_temperature,,,2015,3,,54.857142857142854
216,weather_total_precipitation,,,2015,4,,307
217,weather_average_temperature,,,2015,4,,44.142857142857146
218,weather_average_minimum_temperature,,,2015,4,,11.285714285714286
219,weather_average_maximum_temperature,,,2015,4,,82.42857142857143
220,weather_total_precipitation,,,2015,5,,79
221,weather_average_temperature,,,2015,5,,8.857142857142858
222,weather_average_minimum_temperature,,,2015,5,,-34.714285714285715
223,weather_average_maximum_temperature,,,2015,5,,48.42857142857143
224,weather_total_precipitation,,,2015,6,,23
225,weather_average_temperature,,,2015,6,,22.0
226,weather_average_minimum_temperature,,,2015,6,,-34.0
227,weather_average_maximum_temperature,,,2015,6,,95.28571428571429
228,weather_total_precipitation,,,2015,7,,23
229,weather_average_temperature,,,2015,7,,-0.7142857142857143
230,weather_average_minimum_temperature,,,2015,7,,-50.142857142857146
231,weather_average_maximum_temperature,,,2015,7,,39.0
232,weather_total_precipitation,,,2015,8,,335
233,weather_average_temperature,,,2015,8,,-58.57142857142857
234,weather_average_minimum_temperature,,,2015,8,,-93.57142857142857
235,weather_average_maximum_temperature,,,2015,8,,-8.285714285714286
236,weather_total_precipitation,,,2015,9,,166
237,weather_average_temperature,,,2015,9,,-10.857142857142858
238,weather_average_minimum_temperature,,,2015,9,,-54.57142857142857
239,weather_average_maximum_temperature,,,2015,9,,24.142857142857142
240,weather_total_precipitation,,,2015,10,,317
241,weather_average_temperature,,,2015,10,,21.714285714285715
242,weather_average_minimum_temperature,,,2015,10,,-24.714285714285715
243,weather_average_maximum_temperature,,,2015,10,,77.14285714285714
244,weather_total_precipitation,,,2015,11,,267
245,weather_average_temperature,,,2015,11,,98.14285714285714
246,weather_average_minimum_temperature,,,2015,11,,53.285714285714285
247,weather_average_maximum_temperature,,,2015,11,,149.28571428571428
248,weather_total_precipitation,,,2015,12,,124
249,weather_average_temperature,,,2015,12,,86.28571428571429
250,weather_average_minimum_temperature,,,2015,12,,35.57142857142857
251,weather_average_maximum_temperature,,,2015,12,,148.57142857142858
252,weather_total_precipitation,,,2015,13,,180
253,weather_average_temperature,,,2015,13,,70.0
254,weather_average_minimum_temperature,,,2015,13,,26.428571428571427
255,weather_average_maximum_temperature,,,2015,13,,117.42857142857143
256,weather_total_precipitation,,,2015,14,,69
257,weather_average_temperature,,,2015,14,,137.14285714285714
258,weather_average_minimum_temperature,,,2015,14,,70.57142857142857
259,weather_average_maximum_temperature,,,2015,14,,206.42857142857142
260,weather_total_precipitation,,,2015,15,,89
261,weather_average_temperature,,,2015,15,,139.0
262,weather_average_minimum_temperature,,,2015,15,,84.14285714285714
263,weather_average_maximum_temperature,,,2015,15,,186.57142857142858
264,weather_total_precipitation,,,2015,16,,275
265,weather_average_temperature,,,2015,16,,181.71428571428572
266,weather_average_minimum_temperature,,,2015,16,,127.71428571428571
267,weather_average_maximum_temperature,,,2015,16,,235.71428571428572
268,weather_total_precipitation,,,2015,17,,306
269,weather_average_temperature,,,2015,17,,140.14285714285714
270,weather_average_minimum_temperature,,,2015,17,,88.85714285714286
271,weather_average_maximum_temperature,,,2015,17,,195.28571428571428
272,weather_total_precipitation,,,2015,18,,165
273,weather_average_temperature,,,2015,18,,167.0
274,weather_average_minimum_temperature,,,2015,18,,111.0
275,weather_average_maximum_temperature,,,2015,18,,228.71428571428572
276,weather_total_precipitation,,,2015,19,,13
277,weather_average_temperature,,,2015,19,,226.57142857142858
278,weather_average_minimum_temperature,,,2015,19,,174.71428571428572
279,weather_average_maximum_temperature,,,2015,19,,287.14285714285717
280,weather_total_precipitation,,,2015,20,,168
281,weather_average_temperature,,,2015,20,,220.71428571428572
282,weather_average_minimum_temperature,,,2015,20,,176.14285714285714
283,weather_average_maximum_temperature,,,2015,20,,275.42857142857144
284,weather_total_precipitation,,,2015,21,,277
285,weather_average_temperature,,,2015,21,,211.42857142857142
286,weather_average_minimum_temperature,,,2015,21,,157.14285714285714
287,weather_average_maximum_temperature,,,2015,21,,263.42857142857144
288,weather_total_precipitation,,,2015,22,,3
289,weather_average_temperature,,,2015,22,,261.42857142857144
290,weather_average_minimum_temperature,,,2015,22,,222.14285714285714
291,weather_average_maximum_temperature,,,2015,22,,317.2857142857143
292,weather_total_precipitation,,,2015,23,,854
293,weather_average_temperature,,,2015,23,,206.42857142857142
294,weather_average_minimum_temperature,,,2015,23,,172.28571428571428
295,weather_average_maximum_temperature,,,2015,23,,244.28571428571428
296,weather_total_precipitation,,,2015,24,,302
297,weather_average_temperature,,,2015,24,,270.0
298,weather_average_minimum_temperature,,,2015,24,,223.85714285714286
299,weather_average_maximum_temperature,,,2015,24,,324.57142857142856
300,weather_total_precipitation,,,2015,25,,841
301,weather_average_temperature,,,2015,25,,277.14285714285717
302,weather_average_minimum_temperature,,,2015,25,,238.0
303,weather_average_maximum_temperature,,,2015,25,,329.42857142857144
304,weather_total_precipitation,,,2015,26,,1034
305,weather_average_temperature,,,2015,26,,261.85714285714283
306,weather_average_minimum_temperature,,,2015,26,,217.57142857142858
307,weather_average_maximum_temperature,,,2015,26,,303.2857142857143
308,weather_total_precipitation,,,2015,27,,562
309,weather_average_temperature,,,2015,27,,245.57142857142858
310,weather_average_minimum_temperature,,,2015,27,,203.28571428571428
311,weather_average_maximum_temperature,,,2015,27,,292.85714285714283
